City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,Dharmadam,11.7833,75.4333,305.07,45,71,0.22,IN,1731219230
296,Aurora,39.7294,-104.8319,275.9,90,37,2.24,US,1731219077
297,Natal,-5.795,-35.2094,297.51,83,20,2.57,BR,1731219127
298,Fort mcmurray,56.7268,-111.381,271.92,80,100,2.57,CA,1731219236
299,Saki,8.6667,3.3833,293.92,56,69,1.44,NG,1731219239
300,Kayangel,8.0823,134.7173,302.34,74,14,3.77,PW,1731219241
301,Wamba,8.9333,8.6,294.84,42,100,0.07,NG,1731219243
302,Xinmin,41.9908,122.8253,287.49,26,100,6.23,CN,1731219245
303,Freetown,8.484,-13.2299,298.61,80,16,1.5,SL,1731219247
304,Woolgoolga,-30.1106,153.2007,298.08,87,95,4.27,AU,1731219249
305,Sola,-13.8833,167.55,300.11,76,23,8.11,VU,1731219252
306,Weno,7.4515,151.8468,304.12,79,75,1.54,FM,1731219254
307,Bozoum,6.3193,16.3799,294.85,60,96,0.33,CF,1731219256
308,Ola,59.5833,151.2833,258.93,68,9,3.46,RU,1731219258
309,Nogliki,51.8333,143.1667,274.82,83,99,4.44,RU,1731219135
310,Petropavlovsk-kamchatsky,53.0452,158.6483,270.48,54,40,3.0,RU,1731219263
311,Slobodskoy,58.7322,50.1772,270.79,81,92,4.32,RU,1731219176
312,Taro,-8.3862,115.28,299.28,80,87,0.51,ID,1731219267
313,Macau,22.2006,113.5461,300.21,78,40,6.69,MO,1731219269
314,Kourou,5.1552,-52.6478,299.05,86,8,3.21,GF,1731219271
315,Badger,64.8,-147.5333,257.59,86,0,2.57,US,1731219274
316,El alto,-4.2714,-81.2147,290.28,85,64,5.26,PE,1731219276
317,Nantucket,41.2835,-70.0995,281.56,52,0,2.73,US,1731219089
318,Port-cartier,50.0334,-66.8654,272.81,56,93,2.7,CA,1731219280
319,Singkil,-7.9855,111.4161,304.69,61,98,2.38,ID,1731219282
320,Bulungu,-4.55,18.6,293.62,97,100,0.29,CD,1731219188
321,Babolsar,36.7025,52.6576,288.19,71,0,2.31,IR,1731219286
322,Palangkaraya,-2.2,113.8333,304.66,70,93,0.41,ID,1731219291
323,Tabango,11.3077,124.373,300.93,79,100,4.59,PH,1731219293
324,Qalat,32.1058,66.9083,289.99,27,0,4.29,AF,1731219295
325,Reggane,26.7158,0.1714,296.14,24,96,3.65,DZ,1731219300
326,Dudinka,69.4058,86.1778,256.11,90,40,4.09,RU,1731219302
327,Divnogorsk,55.9594,92.3619,271.42,51,56,6.17,RU,1731219304
328,Chui,-33.6971,-53.4616,286.11,93,2,2.77,UY,1731219240
329,Tolanaro,-25.0319,46.9987,302.19,65,0,9.26,MG,1731219308
330,Sultandagi,38.5311,31.2281,279.97,51,79,1.9,TR,1731219311
331,Ialibu,-6.2821,143.9935,290.69,95,100,0.93,PG,1731219313
332,Yaren,-0.5472,166.916,301.22,64,18,3.3,NR,1731219315
333,Alesund,62.4723,6.1549,281.9,87,100,4.12,NO,1731219317
334,Sidi merouane,36.5206,6.2611,287.31,92,69,0.89,DZ,1731219319
335,Seven pagodas,12.6264,80.1722,302.89,60,41,7.89,IN,1731219321
336,Trinidad,-14.8333,-64.9,297.4,88,11,1.24,BO,1731219324
337,Sao joao da barra,-21.6403,-41.0511,294.19,90,100,5.23,BR,1731219326
338,Susaki,33.3667,133.2833,293.05,70,100,0.61,JP,1731219328
339,Inyonga,-6.7167,32.0667,299.0,45,32,3.41,TZ,1731219330
340,Gobindpur,22.6333,86.0667,302.86,45,0,2.66,IN,1731219332
341,Cockburn town,21.4612,-71.1419,300.8,81,88,4.42,TC,1731219335
342,Mata-utu,-13.2816,-176.1745,300.99,78,93,5.71,WF,1731219337
343,Newman,37.3138,-121.0208,286.05,47,58,1.34,US,1731219339
344,Sisimiut,66.9395,-53.6735,268.08,90,100,2.03,GL,1731219341
345,Westport,41.1415,-73.3579,276.69,65,0,0.0,US,1731219343
346,Flin flon,54.7682,-101.865,274.07,83,80,1.33,CA,1731219345
347,Shirdi,19.7667,74.4833,301.1,39,0,2.52,IN,1731219348
348,Berdigestyakh,62.0989,126.6992,262.45,96,99,2.21,RU,1731219350
349,Cromer,52.9312,1.2989,280.2,83,98,4.0,GB,1731219352
350,Qamdo,31.1667,97.2333,282.32,26,0,3.2,CN,1731219354
351,Tazacorte,28.629,-17.9293,294.69,40,0,1.03,ES,1731219356
352,Bamboo flat,11.7,92.7167,304.2,74,40,3.09,IN,1731219358
353,Barra de santo antonio,-9.4047,-35.5072,297.0,84,49,4.5,BR,1731219361
